step 0: train loss 10.9987, val loss 10.9994
iter 1500: loss 7.0625, time 181.89ms, ETA: 1d 9h, progress: 0.2%
iter 1510: loss 7.4688, time 181.23ms, ETA: 1d 9h, progress: 0.3%
iter 1520: loss 7.0000, time 178.41ms, ETA: 1d 9h, progress: 0.3%
iter 1530: loss 7.2500, time 184.84ms, ETA: 1d 9h, progress: 0.3%
iter 1540: loss 7.1562, time 182.71ms, ETA: 1d 9h, progress: 0.3%
iter 1550: loss 6.9062, time 184.31ms, ETA: 1d 9h, progress: 0.3%
iter 1560: loss 7.0000, time 178.15ms, ETA: 1d 9h, progress: 0.3%
iter 1570: loss 7.0000, time 180.84ms, ETA: 1d 9h, progress: 0.3%
iter 1580: loss 6.8750, time 180.21ms, ETA: 1d 9h, progress: 0.3%
iter 1590: loss 6.9375, time 184.03ms, ETA: 1d 9h, progress: 0.3%
[2025-08-27 20:20:59,980] [INFO] [logging.py:107:log_dist] [Rank 0] step=40, skipped=0, lr=[0.00047976011994002994], mom=[[0.9, 0.95]]
[2025-08-27 20:20:59,993] [INFO] [timer.py:264:stop] epoch=0/micro_step=1600/global_step=40, RunningAvgSamplesPerSec=641.4497018384722, CurrSamplesPerSec=627.8729017678183, MemAllocated=0.42GB, MaxMemAllocated=7.37GB
iter 1600: loss 7.3125, time 180.02ms, ETA: 1d 9h, progress: 0.3%
iter 1610: loss 6.8125, time 182.39ms, ETA: 1d 9h, progress: 0.3%
iter 1620: loss 7.0000, time 185.62ms, ETA: 1d 9h, progress: 0.3%
iter 1630: loss 6.8438, time 183.32ms, ETA: 1d 8h, progress: 0.3%
iter 1640: loss 6.8750, time 181.54ms, ETA: 1d 8h, progress: 0.3%
iter 1650: loss 7.1562, time 183.10ms, ETA: 1d 8h, progress: 0.3%
iter 1660: loss 6.7500, time 182.20ms, ETA: 1d 8h, progress: 0.3%
iter 1670: loss 6.9062, time 181.83ms, ETA: 1d 8h, progress: 0.3%
iter 1680: loss 6.9062, time 178.80ms, ETA: 1d 8h, progress: 0.3%
iter 1690: loss 7.0312, time 181.80ms, ETA: 1d 8h, progress: 0.3%
iter 1700: loss 6.6875, time 183.78ms, ETA: 1d 8h, progress: 0.3%
iter 1710: loss 6.6250, time 187.11ms, ETA: 1d 8h, progress: 0.3%
iter 1720: loss 7.0000, time 178.95ms, ETA: 1d 8h, progress: 0.3%
iter 1730: loss 7.0625, time 181.51ms, ETA: 1d 8h, progress: 0.3%
iter 1740: loss 6.9688, time 183.78ms, ETA: 1d 8h, progress: 0.3%
iter 1750: loss 6.7188, time 180.10ms, ETA: 1d 8h, progress: 0.3%
iter 1760: loss 6.6875, time 181.35ms, ETA: 1d 8h, progress: 0.3%
iter 1770: loss 6.8750, time 182.94ms, ETA: 1d 8h, progress: 0.3%
iter 1780: loss 6.7500, time 182.16ms, ETA: 1d 8h, progress: 0.3%
iter 1790: loss 7.0312, time 183.59ms, ETA: 1d 8h, progress: 0.3%
iter 1800: loss 6.7188, time 178.83ms, ETA: 1d 8h, progress: 0.3%
iter 1810: loss 6.8750, time 184.39ms, ETA: 1d 8h, progress: 0.3%
iter 1820: loss 6.8750, time 186.94ms, ETA: 1d 8h, progress: 0.3%
iter 1830: loss 6.5000, time 185.02ms, ETA: 1d 8h, progress: 0.3%
iter 1840: loss 6.9688, time 179.80ms, ETA: 1d 8h, progress: 0.3%
iter 1850: loss 6.9688, time 186.05ms, ETA: 1d 8h, progress: 0.3%
iter 1860: loss 6.7812, time 187.22ms, ETA: 1d 8h, progress: 0.3%
iter 1870: loss 6.6562, time 183.87ms, ETA: 1d 8h, progress: 0.3%
iter 1880: loss 7.0312, time 178.98ms, ETA: 1d 8h, progress: 0.3%
iter 1890: loss 6.5312, time 182.65ms, ETA: 1d 8h, progress: 0.3%
iter 1900: loss 6.7500, time 186.32ms, ETA: 1d 8h, progress: 0.3%
iter 1910: loss 6.5938, time 182.79ms, ETA: 1d 8h, progress: 0.3%
iter 1920: loss 6.5938, time 179.52ms, ETA: 1d 8h, progress: 0.3%
iter 1930: loss 6.5312, time 186.82ms, ETA: 1d 8h, progress: 0.3%
iter 1940: loss 6.7188, time 186.69ms, ETA: 1d 8h, progress: 0.3%
iter 1950: loss 6.7500, time 183.38ms, ETA: 1d 8h, progress: 0.3%
iter 1960: loss 6.6250, time 181.88ms, ETA: 1d 8h, progress: 0.3%
iter 1970: loss 6.7500, time 184.05ms, ETA: 1d 8h, progress: 0.3%
iter 1980: loss 6.5625, time 182.33ms, ETA: 1d 8h, progress: 0.3%
iter 1990: loss 6.5625, time 182.60ms, ETA: 1d 8h, progress: 0.3%
[2025-08-27 20:22:13,458] [INFO] [logging.py:107:log_dist] [Rank 0] step=50, skipped=0, lr=[0.0005997001499250374], mom=[[0.9, 0.95]]
[2025-08-27 20:22:13,470] [INFO] [timer.py:264:stop] epoch=0/micro_step=2000/global_step=50, RunningAvgSamplesPerSec=637.6482639014179, CurrSamplesPerSec=621.6759403008175, MemAllocated=0.42GB, MaxMemAllocated=7.37GB
step 2000: train loss 6.6327, val loss 6.6503 | ETA: 1d 9h (2025-08-29 06:13:14) | Progress: 0.3%
saving checkpoint to out
iter 2000: loss 6.7188, time 17065.21ms, ETA: 1d 9h, progress: 0.3%
iter 2010: loss 6.5312, time 180.45ms, ETA: 1d 9h, progress: 0.3%
iter 2020: loss 6.6562, time 180.83ms, ETA: 1d 9h, progress: 0.3%
iter 2030: loss 6.6562, time 179.72ms, ETA: 1d 9h, progress: 0.3%
iter 2040: loss 6.8125, time 176.00ms, ETA: 1d 9h, progress: 0.3%
iter 2050: loss 6.3750, time 181.18ms, ETA: 1d 9h, progress: 0.3%
iter 2060: loss 6.6562, time 179.89ms, ETA: 1d 9h, progress: 0.3%
iter 2070: loss 6.5938, time 179.79ms, ETA: 1d 9h, progress: 0.3%
iter 2080: loss 6.6562, time 178.47ms, ETA: 1d 9h, progress: 0.3%
iter 2090: loss 6.5312, time 180.40ms, ETA: 1d 9h, progress: 0.3%
iter 2100: loss 6.6875, time 180.22ms, ETA: 1d 9h, progress: 0.4%
iter 2110: loss 6.5625, time 181.13ms, ETA: 1d 9h, progress: 0.4%
iter 2120: loss 6.6250, time 177.04ms, ETA: 1d 9h, progress: 0.4%
iter 2130: loss 6.3438, time 182.91ms, ETA: 1d 9h, progress: 0.4%
iter 2140: loss 6.4688, time 179.69ms, ETA: 1d 9h, progress: 0.4%
iter 2150: loss 6.5312, time 182.53ms, ETA: 1d 9h, progress: 0.4%
iter 2160: loss 6.5625, time 174.57ms, ETA: 1d 9h, progress: 0.4%
iter 2170: loss 6.7188, time 180.10ms, ETA: 1d 9h, progress: 0.4%
iter 2180: loss 6.6250, time 181.33ms, ETA: 1d 9h, progress: 0.4%
iter 2190: loss 6.5625, time 181.89ms, ETA: 1d 9h, progress: 0.4%
iter 2200: loss 6.4062, time 177.21ms, ETA: 1d 9h, progress: 0.4%
iter 2210: loss 6.5000, time 182.55ms, ETA: 1d 9h, progress: 0.4%
iter 2220: loss 6.8125, time 182.51ms, ETA: 1d 9h, progress: 0.4%
