step 0: train loss 10.9886, val loss 10.9897
iter 2260: loss 3.5176, time 718.78ms, mfu 22.90%, ETA: 5d 5h, progress: 0.4%
iter 2270: loss 3.6934, time 729.95ms, mfu 22.92%, ETA: 5d 5h, progress: 0.4%
iter 2280: loss 3.8362, time 717.00ms, mfu 22.97%, ETA: 5d 5h, progress: 0.4%
iter 2290: loss 3.6628, time 739.34ms, mfu 22.95%, ETA: 5d 5h, progress: 0.4%
iter 2300: loss 3.8248, time 719.61ms, mfu 23.00%, ETA: 5d 5h, progress: 0.4%
iter 2310: loss 3.5303, time 725.74ms, mfu 23.02%, ETA: 5d 5h, progress: 0.4%
iter 2320: loss 3.9369, time 702.35ms, mfu 23.11%, ETA: 5d 5h, progress: 0.4%
iter 2330: loss 3.7387, time 746.95ms, mfu 23.05%, ETA: 5d 5h, progress: 0.4%
iter 2340: loss 3.7862, time 735.35ms, mfu 23.04%, ETA: 5d 5h, progress: 0.4%
iter 2350: loss 3.5640, time 724.52ms, mfu 23.06%, ETA: 5d 5h, progress: 0.4%
iter 2360: loss 3.3992, time 732.80ms, mfu 23.05%, ETA: 5d 5h, progress: 0.4%
iter 2370: loss 3.5696, time 722.84ms, mfu 23.07%, ETA: 5d 5h, progress: 0.4%
iter 2380: loss 3.7643, time 739.52ms, mfu 23.04%, ETA: 5d 5h, progress: 0.4%
iter 2390: loss 3.5921, time 744.79ms, mfu 23.00%, ETA: 5d 5h, progress: 0.4%
iter 2400: loss 3.3699, time 729.71ms, mfu 23.00%, ETA: 5d 5h, progress: 0.4%
iter 2410: loss 3.8654, time 730.39ms, mfu 23.01%, ETA: 5d 5h, progress: 0.4%
iter 2420: loss 3.8133, time 738.57ms, mfu 22.99%, ETA: 5d 5h, progress: 0.4%
iter 2430: loss 3.6581, time 722.13ms, mfu 23.02%, ETA: 5d 5h, progress: 0.4%
iter 2440: loss 3.8154, time 732.11ms, mfu 23.02%, ETA: 5d 5h, progress: 0.4%
iter 2450: loss 3.6959, time 767.33ms, mfu 22.91%, ETA: 5d 5h, progress: 0.4%
iter 2460: loss 3.6663, time 726.23ms, mfu 22.93%, ETA: 5d 5h, progress: 0.4%
iter 2470: loss 3.7514, time 736.78ms, mfu 22.93%, ETA: 5d 5h, progress: 0.4%
iter 2480: loss 3.7254, time 733.10ms, mfu 22.93%, ETA: 5d 5h, progress: 0.4%
iter 2490: loss 3.6457, time 734.52ms, mfu 22.93%, ETA: 5d 5h, progress: 0.4%
iter 2500: loss 3.6886, time 733.26ms, mfu 22.93%, ETA: 5d 5h, progress: 0.4%
iter 2510: loss 3.4884, time 723.98ms, mfu 22.96%, ETA: 5d 5h, progress: 0.4%
iter 2520: loss 3.5578, time 734.94ms, mfu 22.96%, ETA: 5d 5h, progress: 0.4%
iter 2530: loss 3.7537, time 714.91ms, mfu 23.02%, ETA: 5d 5h, progress: 0.4%
iter 2540: loss 3.7070, time 758.70ms, mfu 22.93%, ETA: 5d 5h, progress: 0.4%
iter 2550: loss 3.6585, time 737.77ms, mfu 22.92%, ETA: 5d 5h, progress: 0.4%
iter 2560: loss 3.5865, time 743.62ms, mfu 22.89%, ETA: 5d 5h, progress: 0.4%
iter 2570: loss 3.5501, time 725.66ms, mfu 22.92%, ETA: 5d 5h, progress: 0.4%
iter 2580: loss 3.5778, time 713.75ms, mfu 22.99%, ETA: 5d 5h, progress: 0.4%
iter 2590: loss 3.7441, time 732.86ms, mfu 22.99%, ETA: 5d 5h, progress: 0.4%
iter 2600: loss 3.5781, time 727.67ms, mfu 23.00%, ETA: 5d 5h, progress: 0.4%
iter 2610: loss 3.5297, time 728.21ms, mfu 23.01%, ETA: 5d 5h, progress: 0.4%
iter 2620: loss 3.5414, time 749.49ms, mfu 22.96%, ETA: 5d 5h, progress: 0.4%
iter 2630: loss 3.8799, time 730.42ms, mfu 22.97%, ETA: 5d 5h, progress: 0.4%
iter 2640: loss 3.7832, time 725.36ms, mfu 22.99%, ETA: 5d 5h, progress: 0.4%
iter 2650: loss 3.3481, time 743.13ms, mfu 22.96%, ETA: 5d 5h, progress: 0.4%
iter 2660: loss 3.2830, time 737.48ms, mfu 22.94%, ETA: 5d 5h, progress: 0.4%
iter 2670: loss 3.6451, time 734.89ms, mfu 22.94%, ETA: 5d 5h, progress: 0.4%
iter 2680: loss 3.5310, time 721.35ms, mfu 22.98%, ETA: 5d 4h, progress: 0.4%
iter 2690: loss 3.7146, time 710.10ms, mfu 23.05%, ETA: 5d 4h, progress: 0.4%
iter 2700: loss 3.5788, time 739.12ms, mfu 23.02%, ETA: 5d 4h, progress: 0.4%
iter 2710: loss 3.3858, time 727.47ms, mfu 23.03%, ETA: 5d 4h, progress: 0.5%
